market,name,region,currency,timezone,point_value,liquidity_rating,avg_box_range,median_box_range,total_setups,valid_entries,invalid_trades,execution_rate,total_trades,win_rate,profit_factor,avg_r_multiple,median_r_multiple,sharpe_ratio,sortino_ratio,max_drawdown_pct,return_pct,total_pnl_usd,avg_monthly_return,avg_win,avg_loss,win_loss_ratio,avg_duration_hours,trades_under_1hour,long_trades,short_trades,long_win_rate,short_win_rate
STOXX,Euro Stoxx 50,EUROPE,EUR,Europe/Berlin,10.0,4,31.66899956597222,30.400390625,20,9,11,45.0,9,44.44444444444444,0.33888887346197527,-0.3591694533885994,-1.0226704155504882,-7.5722679671759066,-452.37126154382594,4.49496040830611,-5.259140625000002,-5785.054687500001,-2629.5703125,14.8975830078125,-35.16806640625,0.42361109182746914,5.444444444444445,2,9,0,44.44444444444444,0.0
CAC,CAC 40 Index,EUROPE,EUR,Europe/Paris,10.0,4,31.66899956597222,30.400390625,20,9,11,45.0,9,44.44444444444444,0.32951903683163186,-0.37138125523422033,-1.0336244828265582,-7.791365216696065,-324.4503984807989,4.73106655435991,-5.539140625000005,-6093.054687500001,-2769.5703125,14.8975830078125,-36.16806640625,0.4118987960395398,5.444444444444445,2,9,0,44.44444444444444,0.0
NKY,,ASIA_PACIFIC,,,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
ASX,ASX 200 Index,ASIA_PACIFIC,AUD,Australia/Sydney,25.0,3,25.899972098214285,26.900390625,20,7,13,35.0,7,57.14285714285714,1.7027712424482462,0.250278051834692,0.4649523114133163,2.8492314469754763,252.68301397935284,4.3550502227578844,2.0561889648437415,1357.084716796875,1028.094482421875,35.1624755859375,-27.533528645833332,1.2770784318361845,26.261904761904763,1,7,0,57.14285714285714,0.0
IBEX,IBEX 35 Index,EUROPE,EUR,Europe/Madrid,10.0,3,65.0501708984375,70.64990234375,20,8,12,40.0,8,37.5,1.348138353901252,0.27855151439326076,-1.0251425310313547,2.325352042199953,415.87642437690386,5.1018816030799785,3.5819775390625086,3940.1752929687505,1790.98876953125,158.31673177083334,-70.46015625,2.2468972565020864,82.22916666666667,0,8,0,37.5,0.0
HSI,Hang Seng Index,ASIA_PACIFIC,HKD,Asia/Hong_Kong,50.0,4,181.48177083333334,168.8203125,19,12,7,63.1578947368421,12,33.33333333333333,1.0847576434243884,0.19381710467459723,-0.6990434278889509,1.6212849129313955,9.14758972105031,28.451061808349078,4.929931640625007,640.89111328125,2464.9658203125,315.474853515625,-145.41259765625,2.169515286848777,72.70138888888889,0,11,1,36.36363636363637,0.0
SPX,S&P 500 E-mini Futures,AMERICAS,USD,America/New_York,50.0,5,131.96875,122.875,20,8,12,40.0,8,62.5,3.018018018018018,0.5449808301939308,0.49644840441165095,5.779845157023089,18018.958348112654,8.207850987901471,36.40000000000001,36400.0,18200.0,217.75,-120.25,1.8108108108108107,118.73958333333333,0,7,1,57.14285714285714,100.0
NDX,NASDAQ 100 E-mini Futures,AMERICAS,USD,America/New_York,20.0,5,131.96875,122.875,20,8,12,40.0,8,62.5,3.018018018018018,0.5449808301939308,0.49644840441165095,5.779845157023089,18018.958348112654,4.014645153050364,14.559999999999995,14560.0,7280.0,217.75,-120.25,1.8108108108108107,118.73958333333333,0,7,1,57.14285714285714,100.0
