Market,Name,Currency,Trades,Win Rate (%),Profit Factor,Avg R,Sharpe,Max DD (%),Return (%),P&L (USD),Liquidity
SPX,S&P 500 E-mini Futures,USD,20,40.0,0.78,-0.28,-4.16,11.75,-8.23,-8231.25,5
NDX,NASDAQ 100 E-mini Futures,USD,20,40.0,0.78,-0.28,-4.16,12.54,-10.41,-10415.0,5
