Market,Name,Currency,Trades,Win Rate (%),Profit Factor,Avg R,Sharpe,Max DD (%),Return (%),P&L (USD),Liquidity
SPX,S&P 500 E-mini Futures,USD,8,62.5,3.02,0.54,5.78,8.21,36.4,36400.0,5
NDX,NASDAQ 100 E-mini Futures,USD,8,62.5,3.02,0.54,5.78,4.01,14.56,14560.0,5
HSI,Hang Seng Index,HKD,12,33.33,1.08,0.19,1.62,28.45,4.93,640.89,4
IBEX,IBEX 35 Index,EUR,8,37.5,1.35,0.28,2.33,5.1,3.58,3940.18,3
ASX,ASX 200 Index,AUD,7,57.14,1.7,0.25,2.85,4.36,2.06,1357.08,3
NKY,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
STOXX,Euro Stoxx 50,EUR,9,44.44,0.34,-0.36,-7.57,4.49,-5.26,-5785.05,4
CAC,CAC 40 Index,EUR,9,44.44,0.33,-0.37,-7.79,4.73,-5.54,-6093.05,4
