date,box_high,box_low,box_range,direction,entry_time,entry_price,stop_loss,risk_points,exit_time,exit_price,status,pnl_points,pnl_r,partial_exits,holding_time_minutes
2025-09-30,6710.5,6696.75,13.75,LONG,2025-09-30T11:05:00-04:00,6711.5,6696.75,14.75,2025-09-30T11:25:00-04:00,6695.75,STOPPED_OUT,-15.75,-1.0677966101694916,[],20.0
2025-10-01,6729.0,6705.25,23.75,LONG,2025-10-01T10:30:00-04:00,6730.0,6705.25,24.75,2025-10-03T16:55:00-04:00,6763.0,TP3_HIT,28.875,1.1666666666666667,"[{'time': Timestamp('2025-10-01 13:25:00-0400', tz='America/New_York'), 'price': 6754.75, 'size': 0.5, 'reason': 'TP1 (1:1)'}]",3265.0
2025-10-03,6788.25,6766.5,21.75,LONG,2025-10-03T10:35:00-04:00,6789.25,6766.5,22.75,2025-10-03T13:50:00-04:00,6765.5,STOPPED_OUT,-23.75,-1.043956043956044,[],195.0
